	German_voc	deu_is_noun	French_voc	fra_is_noun
0	BR EREENDE NEE NEN NAR EN ST WASeER LIE en ounam DEN EI TERN	False	SE —	False
1	ein am/im/auf dem Wasser	False	un insecte aquatique	True
2	lebendes Insekt	False	avoir le cafard	False
3	Trübsal blasen, ie, a/in gedrückter	False	tomber comme des ouches	False
4	Stimmung sein	False	prendre acilement	False
5	wie die Fliegen sterben‘, a, 0, i	False	la ouche	True
6	sich über jede Kleinigkeit ärgern	False	Quelle ouche te pique ?	False
7	Was ist in dich gefahren ?	False	Ilne erait pas de al à une	False
8	Er könnte keiner Fliege etw zuleide/zu Leide tun.	False	mouche.	False
9	sich in. die Nesseln setzen [fam)	False	se ourrer dans un guépier	False
10	zwei Fliegen mit einer Klappe	False	faire d’une pierre deux coups	False
11	schlagen, u, a,ä	False	secouer les puces à qn 	False
12	jdm gehörig Bescheid'sagen	False	Araignée du atin, chagrin ; araignée du soir, espoir.	False
13	Spinne am. Morgen bringt Kummer	False	le rat de bibliothèque	True
14	und Sorgen, Spinne am Abend, erquickend und labend.	False	tirer les vers du nez à qn	False
15	der Bücherwurm	True	un homme d'affaires véreux	True
16	jemandem die Würmer aus	False	Cela e tracasse/me	False
17	der Nase ziehen, 0, 0 (fam)	True	turlupine.	False
18	ein unehrlicher Geschäftsmann	False	lézarder au sleil	False
19	Es wurmt mich. (fam)	False	faire la queue	False
20	sich inder Sonne aalen	False	avoir une langue de vipère	False
21	eine giftige Zunge haben	False	prédire des alheurs/êtreun	False
22	unken itr	False	oiseau de auvais augure	False
23	im Schneckengang/im Schneckentempo	False	à pas de tortue	False
24		False	 	False
25		False		False
